round,strategy,n_measured,n_new,best_fitness,best_variant,batch_max_fitness,batch_mean_fitness,batch_median_fitness,n_above_wt,n_hits_in_batch,hit_rate,cum_hits,n_above_wt_in_batch,frac_above_wt_in_batch,n_dead_in_batch,batch_pred_mae,n_unique_p40,touch_pos39,touch_pos40,touch_pos41,touch_pos54,model_spearman,model_recall@100,improvement_over_start,backend,n_rejected,seed
3,Rule-Agent,2204,12,8.76196565571,FWAA,8.76196565571,4.198276811859333,4.191416032175001,253,2,0.16666666666666666,7,11,0.9166666666666666,0,1.0305808752259837,4,12,12,7,12,0.47526950476092483,0.38,3.37123315001,offline,0.0,88
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.48238374113282767,0.44,0.0,,,11
1,Rule-Agent+KB,2180,12,8.04515200416,FYAA,8.04515200416,4.068875421332583,3.717566528555,229,3,0.25,3,11,0.9166666666666666,0,1.674151320571634,4,10,7,8,12,0.48427544741223155,0.45,2.6544194984600002,offline,0.0,11
2,Rule-Agent+KB,2192,12,8.04515200416,FYAA,6.92825718021,4.009321186855833,4.26056198597,241,2,0.16666666666666666,5,12,1.0,0,0.866992744905929,5,11,12,8,12,0.47373866284838456,0.46,2.6544194984600002,offline,0.0,11
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,8.76196565571,4.3704774885783335,4.271047978215,253,1,0.08333333333333333,6,12,1.0,0,1.0979991644013076,6,10,10,9,12,0.48077184968613995,0.42,3.37123315001,offline,0.0,11
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4792499807998502,0.45,0.0,,,22
1,Rule-Agent+KB,2180,12,8.04515200416,FYAA,8.04515200416,4.36711635116,4.200694235609999,230,3,0.25,3,12,1.0,0,1.34787519990929,4,9,9,7,12,0.46995165338002104,0.42,2.6544194984600002,offline,0.0,22
2,Rule-Agent+KB,2192,12,8.04515200416,FYAA,6.92825718021,3.9242364187991665,4.524382819375,241,2,0.16666666666666666,5,11,0.9166666666666666,0,0.9764624304485285,5,11,11,8,12,0.47836897140309526,0.45,2.6544194984600002,offline,0.0,22
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,8.76196565571,4.152213382363334,4.171926766675,253,2,0.16666666666666666,7,12,1.0,0,1.2480694391970377,6,11,9,10,12,0.4732334116317833,0.4,3.37123315001,offline,0.0,22
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.47850693389199184,0.43,0.0,,,33
1,Rule-Agent+KB,2180,12,5.77203220934,IWGF,5.77203220934,3.8139564313734162,4.00101742961,229,2,0.16666666666666666,2,11,0.9166666666666666,0,0.9530440754437794,4,10,8,6,12,0.4772668070528659,0.46,0.3812997036399999,offline,0.0,33
2,Rule-Agent+KB,2192,12,8.04515200416,FYAA,8.04515200416,3.9029758186164165,3.4242407665599996,240,1,0.08333333333333333,3,11,0.9166666666666666,0,1.0290358165242905,5,12,10,4,12,0.470355186685189,0.43,2.6544194984600002,offline,0.0,33
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,8.76196565571,4.464072246985,4.1963367922699994,252,2,0.16666666666666666,5,12,1.0,0,1.2240294980917898,5,11,11,9,12,0.4729848100967154,0.41,3.37123315001,offline,0.0,33
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4721232263942086,0.4,0.0,,,44
1,Rule-Agent+KB,2180,12,8.04515200416,FYAA,8.04515200416,4.31857139681,4.1215479600950005,230,2,0.16666666666666666,2,12,1.0,0,1.140867807529876,4,10,9,6,12,0.4655348434940081,0.44,2.6544194984600002,offline,0.0,44
2,Rule-Agent+KB,2192,12,8.04515200416,FYAA,6.92825718021,4.290793135670083,4.803425304255001,241,4,0.3333333333333333,6,11,0.9166666666666666,0,1.1649088039261166,5,11,9,9,12,0.4744468137500474,0.44,2.6544194984600002,offline,0.0,44
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,8.76196565571,4.041687812489999,4.13217499383,253,1,0.08333333333333333,7,12,1.0,0,0.8877407804631443,5,10,12,9,12,0.46872450918334263,0.42,3.37123315001,offline,0.0,44
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4856173667587159,0.45,0.0,,,55
1,Rule-Agent+KB,2180,12,8.04515200416,FYAA,8.04515200416,4.5465707930025,4.3290227925149996,230,3,0.25,3,12,1.0,0,1.4020775178894151,5,10,10,5,12,0.47424465233237095,0.45,2.6544194984600002,offline,0.0,55
2,Rule-Agent+KB,2192,12,8.76196565571,FWAA,8.76196565571,4.6704627963325,4.1556508788199995,242,3,0.25,6,12,1.0,0,1.003114357770811,6,11,9,10,12,0.47309456139759015,0.38,3.37123315001,offline,0.0,55
3,Rule-Agent+KB,2204,12,8.76196565571,FWAA,6.02748854644,3.7406229849842494,4.358114566135,253,1,0.08333333333333333,7,11,0.9166666666666666,0,1.0240112135612085,7,11,10,10,12,0.4644727691606663,0.42,3.37123315001,offline,0.0,55
0,Rule-Agent+KB,2168,0,5.3907325057,VWGF,,,,218,0,,0,0,,0,,0,0,0,0,0,0.4789613156015579,0.41,0.0,,,66
